score,company,cultivar
25.4,D,Bingo
23,D,Callypso
27.2,D,Clipper
23.9,D,Trigold
34.2,D,Tribute
34.5,D,Tribute
31.8,D,Ability
37.3,D,Tribune
28.4,D,Topas
28.8,D,chevrolet
26.8,D,Trigold
33.5,D,Oro
41.5,D,Campino
38.1,D,Regina II
32.1,D,chevrolet
37.2,D,Ability
28,D,chevrolet
26.4,D,Fido
24.3,D,Wesway
19.1,D,Tower
34.3,D,Larissa
29.8,D,Regina II
31.3,D,Q2
37,D,Ability
32.2,D,Regina II
46.6,D,Q2
27.9,D,Tower
40.8,D,Ability
44.3,D,Campino
43.4,D,Campino
36.4,D,Larissa
30,D,Bingo
44.6,D,Andor
33.8,D,Astor
29.8,D,Campino
32.7,D,Ability
23.7,D,Q2
35,D,Concord
32.4,D,Andor
27.2,D,Tribute
26.6,D,Topas
25.8,D,Tower
23.5,D,chevrolet
30,D,Tribute
39.1,D,Regina II
39,D,Tribute
35.1,D,Andor
32.3,D,Astor
37,D,Ability
37.7,D,Regina II
34.1,D,Q2
34.7,D,Tribute
34.4,D,Fido
29.9,D,Fido
33,D,Campino
33.7,D,Andor
32.4,D,Regina II
32.9,A,Ability
31.6,A,Q2
28.1,A,Clipper
30.7,A,Adamo
25.4,A,Regina II
24.2,A,Ability
22.4,A,Topas
26.6,A,Trigold
20.2,A,Fido
17.6,A,Rivette
28,A,chevrolet
27,A,chevrolet
34,A,chevrolet
31,A,Oro
29,A,Tower
27,A,Oro
24,A,Fido
36,A,Campino
37,A,Q2
31,A,Q2
38,A,Tribute
36,A,Pauline
36,A,Conny
36,B,Andor
34,B,Regina II
38,B,Andor
32,B,Andor
38,B,Ability
25,B,Topas
38,B,Trigold
26,B,Rivette
22,B,Fido
32,B,Regina II
36,B,Tower
27,B,chevrolet
27,B,Fido
44,B,Campino
32,B,Tower
28,B,Fido
31,B,chevrolet
